accession,gene_name,index
NP_032328.2,Hsp90ab1,485
NP_038728.1,Usp5,486
NP_031952.2,Aimp1,487
NP_080283.3,Eef1g,488
XP_006500035.1,Jph2,489
XP_017171330.1,Myh7,490
NP_083620.1,Acyp2,491
XP_006508128.1,Tacc2,492
XP_017169807.1; NP_034985.2; NP_001034634.2; NP_796343.2,Myh1,493
XP_006526253.2,NA,494
XP_017169807.1; NP_034985.2; NP_001034634.2; NP_001074719.1; XP_017171330.1; NP_796343.2,Myh1,495
NP_077217.2,Hsdl2,496
XP_006502282.1,Mindy1,497
NP_031502.1; NP_031506.1,Arf1,498
XP_006529816.1,Mybph,499
XP_006526486.1,Pias2,500
XP_011247336.1,NA,501
XP_017169807.1; NP_001034634.2; NP_001074719.1; XP_017171330.1; NP_796343.2,Myh1,502
